,hn_1,best_match,street_type,base_function,suffix_true,both_true
4606,NA,ADELPHI AND MYRTLE AVE,AVE,ADELPHI AND MYRTLE AVE,ADELPHI AND MYRTLE AVE,ADELPHI AND MYRTLE AVE
4607,36,DEGRAW,ST,36 DEGRAW ST,36 DEGRAW ST,36 DEGRAW ST
4608,NA,S HART ALY AND BRG,ALY,S HART ALY AND BRG ALY,S HART ALY AND BRG ALY,S HART ALY AND BRG ALY
4609,NA,RNARKCTMAN239 JOHN,ST,RNARKCTMAN239 JOHN ST,RNARKCTMAN239TH JOHN ST,RNARKCTMAN239TH JOHN ST
4610,NA,FLUSHING AVE AND WALWORTH,AVE,FLUSHING AVE AND WALWORTH AVE,FLUSHING AVE AND WALWORTH AVE,FLUSHING AVE AND WALWORTH AVE
4611,NA,PACIFIC AND CT,CT,PACIFIC AND CT,PACIFIC AND CT,PACIFIC AND CT
4612,185,TILLARY,ST,185 TILLARY ST,185 TILLARY ST,185 TILLARY ST
4613,NA,1S8 WATER,ST,1S8 WATER ST,1STS8 WATER ST,1STS8 WATER ST
4614,24,GREEN LN,LN,24 GREEN LN,24 GREEN LN,24 GREEN LN
4615,236,BRG,ST,236 BRG ST,236 BRG ST,236 BRG ST
4616,147,GOLD,ST,147 GOLD ST,147 GOLD ST,147 GOLD ST
4617,NA,POWERS AND STATE,ST,POWERS AND STATE ST,POWERS AND STATE ST,POWERS AND STATE ST
4618,49,WATER,ST,49 WATER ST,49 WATER ST,49 WATER ST
4619,47,MAIN,ST,47 MAIN ST,47 MAIN ST,47 MAIN ST
4620,35,FURMAN,ST,35 FURMAN ST,35 FURMAN ST,35 FURMAN ST
4621,NA,CARLL AND WILLOUGHBY,ST,CARLL AND WILLOUGHBY ST,CARLL AND WILLOUGHBY ST,CARLL AND WILLOUGHBY ST
4622,NA,WYCKOFF AND AND GOWANUS LN,LN,WYCKOFF AND AND GOWANUS LN,WYCKOFF AND AND GOWANUS LN,WYCKOFF AND AND GOWANUS LN
4623,361,FULTON,ST,361 FULTON ST,361 FULTON ST,361 FULTON ST
4624,NA,COLUMBIA AND PACIFIC,ST,COLUMBIA AND PACIFIC ST,COLUMBIA AND PACIFIC ST,COLUMBIA AND PACIFIC ST
4625,13,STATE,ST,13 STATE ST,13 STATE ST,13 STATE ST
4626,42,STATE,ST,42 STATE ST,42 STATE ST,42 STATE ST
4627,120,FRONT,ST,120 FRONT ST,120 FRONT ST,120 FRONT ST
4628,NA,PACIFIC AND CT,CT,PACIFIC AND CT,PACIFIC AND CT,PACIFIC AND CT
4629,NA,BOERUM AND BERGEN,ST,BOERUM AND BERGEN ST,BOERUM AND BERGEN ST,BOERUM AND BERGEN ST
4630,NA,ATLANTIC AND CARLTON AVE,AVE,ATLANTIC AND CARLTON AVE,ATLANTIC AND CARLTON AVE,ATLANTIC AND CARLTON AVE
4631,NA,LITTLE AND WATER,ST,LITTLE AND WATER ST,LITTLE AND WATER ST,LITTLE AND WATER ST
4632,89,ORANGE,ST,89 ORANGE ST,89 ORANGE ST,89 ORANGE ST
4633,NA,SHOE MAKER 213 ADAMS,ST,SHOE MAKER 213 ADAMS ST,SHOE MAKER 213TH ADAMS ST,SHOE MAKER 213TH ADAMS ST
4634,235,HUDSON AVE,AVE,235 HUDSON AVE,235 HUDSON AVE,235 HUDSON AVE
4635,165,HUDSON AVE,AVE,165 HUDSON AVE,165 HUDSON AVE,165 HUDSON AVE
4636,NA,NAVY AND JOHNSON,ST,NAVY AND JOHNSON ST,NAVY AND JOHNSON ST,NAVY AND JOHNSON ST
4637,8,CARLL,ST,8 CARLL ST,8 CARLL ST,8 CARLL ST
4638,101,TILLARY,ST,101 TILLARY ST,101 TILLARY ST,101 TILLARY ST
4639,17,STATE,ST,17 STATE ST,17 STATE ST,17 STATE ST
4640,68,HARRISON,ST,68 HARRISON ST,68 HARRISON ST,68 HARRISON ST
4641,NA,FLATBUSH TURNPIKE AND NEVINS,ST,FLATBUSH TURNPIKE AND NEVINS ST,FLATBUSH TURNPIKE AND NEVINS ST,FLATBUSH TURNPIKE AND NEVINS ST
4642,221,FULTON,ST,221 FULTON ST,221 FULTON ST,221 FULTON ST
4643,NA,POW ERS AND SCHERMERHORN,ST,POW ERS AND SCHERMERHORN ST,POW ERS AND SCHERMERHORN ST,POW ERS AND SCHERMERHORN ST
4644,72,BALTIC,ST,72 BALTIC ST,72 BALTIC ST,72 BALTIC ST
4645,NA,FULTON AVE AND RED HOOK PL,AVE,FULTON AVE AND RED HOOK PL AVE,FULTON AVE AND RED HOOK PL AVE,FULTON AVE AND RED HOOK PL AVE
4646,7,CLINTON,ST,7 CLINTON ST,7 CLINTON ST,7 CLINTON ST
4647,NA,PACIFIC AND CT,CT,PACIFIC AND CT,PACIFIC AND CT,PACIFIC AND CT
4648,222,HENRY,ST,222 HENRY ST,222 HENRY ST,222 HENRY ST
4649,222,HENRY,ST,222 HENRY ST,222 HENRY ST,222 HENRY ST
4650,NA,CUMBERLAND AND FLUSHING AVE,AVE,CUMBERLAND AND FLUSHING AVE,CUMBERLAND AND FLUSHING AVE,CUMBERLAND AND FLUSHING AVE
4651,286,ADAMS,ST,286 ADAMS ST,286 ADAMS ST,286 ADAMS ST
4652,265,HUDSON AVE,AVE,265 HUDSON AVE,265 HUDSON AVE,265 HUDSON AVE
4653,24,LAFAYETTE,ST,24 LAFAYETTE ST,24 LAFAYETTE ST,24 LAFAYETTE ST
4654,174,WASHINGTON,ST,174 WASHINGTON ST,174 WASHINGTON ST,174 WASHINGTON ST
4655,89,MAIN,ST,89 MAIN ST,89 MAIN ST,89 MAIN ST
4656,NA,DUFFIELD AND FULTON AVE,AVE,DUFFIELD AND FULTON AVE,DUFFIELD AND FULTON AVE,DUFFIELD AND FULTON AVE
4657,159,WASHINGTON,ST,159 WASHINGTON ST,159 WASHINGTON ST,159 WASHINGTON ST
4658,NA,MYRTLE AVE E GRAHAM,AVE,MYRTLE AVE E GRAHAM AVE,MYRTLE AVE E GRAHAM AVE,MYRTLE AVE E GRAHAM AVE
4659,NA,SACKETT AND COLUMBIA,ST,SACKETT AND COLUMBIA ST,SACKETT AND COLUMBIA ST,SACKETT AND COLUMBIA ST
4660,9,COLUMBIA,ST,9 COLUMBIA ST,9 COLUMBIA ST,9 COLUMBIA ST
4661,196,NASSAU,ST,196 NASSAU ST,196 NASSAU ST,196 NASSAU ST
4662,104,PROSPECT,ST,104 PROSPECT ST,104 PROSPECT ST,104 PROSPECT ST
4663,NA,FLUSHING AVE OP SPENCER,AVE,FLUSHING AVE OP SPENCER AVE,FLUSHING AVE OP SPENCER AVE,FLUSHING AVE OP SPENCER AVE
4664,51,DEAN,ST,51 DEAN ST,51 DEAN ST,51 DEAN ST
4665,NA,BERGEN AND CT,CT,BERGEN AND CT,BERGEN AND CT,BERGEN AND CT
4666,294,ATLANTIC,ST,294 ATLANTIC ST,294 ATLANTIC ST,294 ATLANTIC ST
4667,NA,WHOLESALE LIQUOR DEALERS 19 DEAN,ST,WHOLESALE LIQUOR DEALERS 19 DEAN ST,WHOLESALE LIQUOR DEALERS 19TH DEAN ST,WHOLESALE LIQUOR DEALERS 19TH DEAN ST
4668,NA,ATLANTIC AND HENRY,ST,ATLANTIC AND HENRY ST,ATLANTIC AND HENRY ST,ATLANTIC AND HENRY ST
4669,105,PINEAPPLE,ST,105 PINEAPPLE ST,105 PINEAPPLE ST,105 PINEAPPLE ST
4670,NA,CLINTON AND HARRISON,ST,CLINTON AND HARRISON ST,CLINTON AND HARRISON ST,CLINTON AND HARRISON ST
4671,NA,LIVINGSTON AND CT,CT,LIVINGSTON AND CT,LIVINGSTON AND CT,LIVINGSTON AND CT
4672,93,WATCR,ST,93 WATCR ST,93 WATCR ST,93 WATCR ST
4673,NA,NAVY AND TILLARY,ST,NAVY AND TILLARY ST,NAVY AND TILLARY ST,NAVY AND TILLARY ST
4674,NA,FLATBUSH TURNPIKE AND DEAN,ST,FLATBUSH TURNPIKE AND DEAN ST,FLATBUSH TURNPIKE AND DEAN ST,FLATBUSH TURNPIKE AND DEAN ST
4675,NA,WATCR AND DOCK,ST,WATCR AND DOCK ST,WATCR AND DOCK ST,WATCR AND DOCK ST
4676,NA,BERGEN AND SMITH,ST,BERGEN AND SMITH ST,BERGEN AND SMITH ST,BERGEN AND SMITH ST
4677,NA,VANBRUUT AND WOLCOTT STRCD ILOOK,ST,VANBRUUT AND WOLCOTT STRCD ILOOK ST,VANBRUUT AND WOLCOTT STRCD ILOOK ST,VANBRUUT AND WOLCOTT STRCD ILOOK ST
4678,316,ATLANTIC,ST,316 ATLANTIC ST,316 ATLANTIC ST,316 ATLANTIC ST
4679,NA,PACIFIC AND CT,CT,PACIFIC AND CT,PACIFIC AND CT,PACIFIC AND CT
4680,65,MAIN,ST,65 MAIN ST,65 MAIN ST,65 MAIN ST
4681,136,CARLL,ST,136 CARLL ST,136 CARLL ST,136 CARLL ST
4682,16,HARPER CT JAY,CT,16 HARPER CT JAY CT,16 HARPER CT JAY CT,16 HARPER CT JAY CT
4683,NA,BOND AND STATE,ST,BOND AND STATE ST,BOND AND STATE ST,BOND AND STATE ST
4684,NA,JAY AND PROSPECT,ST,JAY AND PROSPECT ST,JAY AND PROSPECT ST,JAY AND PROSPECT ST
4685,NA,BERGEN AND POWERS,ST,BERGEN AND POWERS ST,BERGEN AND POWERS ST,BERGEN AND POWERS ST
4686,2,COLONNADE ROW COLUMBIA,ROW,2 COLONNADE ROW COLUMBIA ROW,2 COLONNADE ROW COLUMBIA ROW,2 COLONNADE ROW COLUMBIA ROW
4687,30,FULTON,ST,30 FULTON ST,30 FULTON ST,30 FULTON ST
4688,39,HUDSON AVE,AVE,39 HUDSON AVE,39 HUDSON AVE,39 HUDSON AVE
4689,46,FULTON,ST,46 FULTON ST,46 FULTON ST,46 FULTON ST
4690,NA,HOYT AND DEAN,ST,HOYT AND DEAN ST,HOYT AND DEAN ST,HOYT AND DEAN ST
4691,77,CONCORD,ST,77 CONCORD ST,77 CONCORD ST,77 CONCORD ST
4692,54,HIGH,ST,54 HIGH ST,54 HIGH ST,54 HIGH ST
4693,97,CONCORD,ST,97 CONCORD ST,97 CONCORD ST,97 CONCORD ST
4694,86,,ST,86  ST,86  ST,86  ST
4695,NA,COLUMBIA AND JORALEMON,ST,COLUMBIA AND JORALEMON ST,COLUMBIA AND JORALEMON ST,COLUMBIA AND JORALEMON ST
4696,421,HUDSON AVE,AVE,421 HUDSON AVE,421 HUDSON AVE,421 HUDSON AVE
4697,NA,3D AVE OP 2C TH GOWANUS,AVE,3D AVE OP 2C TH GOWANUS AVE,3RDD AVE OP 2C TH GOWANUS AVE,3RDD AVE OP 2C TH GOWANUS AVE
4698,2,PRINCE,ST,2 PRINCE ST,2 PRINCE ST,2 PRINCE ST
4699,109,PROSPECT,ST,109 PROSPECT ST,109 PROSPECT ST,109 PROSPECT ST
4700,32,TILLARY,ST,32 TILLARY ST,32 TILLARY ST,32 TILLARY ST
4701,NA,PARK AVE AND ADELPHI,AVE,PARK AVE AND ADELPHI AVE,PARK AVE AND ADELPHI AVE,PARK AVE AND ADELPHI AVE
4702,NA,HICKS AND DEGRAW,ST,HICKS AND DEGRAW ST,HICKS AND DEGRAW ST,HICKS AND DEGRAW ST
4703,109,HIGH,ST,109 HIGH ST,109 HIGH ST,109 HIGH ST
4704,NA,FLEETS ALY,ALY,FLEETS ALY,FLEETS ALY,FLEETS ALY
4705,116,ADAMS,ST,116 ADAMS ST,116 ADAMS ST,116 ADAMS ST
4706,94,FRONT,ST,94 FRONT ST,94 FRONT ST,94 FRONT ST
4707,25,COLUMBIA,ST,25 COLUMBIA ST,25 COLUMBIA ST,25 COLUMBIA ST
4708,129,ATLANTIC AND FURMAN,ST,129 ATLANTIC AND FURMAN ST,129 ATLANTIC AND FURMAN ST,129 ATLANTIC AND FURMAN ST
4709,26,CHAPEL,ST,26 CHAPEL ST,26 CHAPEL ST,26 CHAPEL ST
4710,284,HICKS,ST,284 HICKS ST,284 HICKS ST,284 HICKS ST
4711,NA,CLINTON AND MYRTLE AVE,AVE,CLINTON AND MYRTLE AVE,CLINTON AND MYRTLE AVE,CLINTON AND MYRTLE AVE
4712,203,BRG,ST,203 BRG ST,203 BRG ST,203 BRG ST
4713,62,LAWRENCE,ST,62 LAWRENCE ST,62 LAWRENCE ST,62 LAWRENCE ST
4714,NA,FURMAN AND JORALEMON,ST,FURMAN AND JORALEMON ST,FURMAN AND JORALEMON ST,FURMAN AND JORALEMON ST
4715,NA,SCHERMERHORN AND BOERUM,ST,SCHERMERHORN AND BOERUM ST,SCHERMERHORN AND BOERUM ST,SCHERMERHORN AND BOERUM ST
4716,NA,PEARL AND PLYMOUTH,PL,PEARL AND PLYMOUTH PL,PEARL AND PLYMOUTH PL,PEARL AND PLYMOUTH PL
4717,NA,1S2 PROSPECT,ST,1S2 PROSPECT ST,1STS2 PROSPECT ST,1STS2 PROSPECT ST
4718,NA,THOMAS AND COTTAGES COLUMBIA AND STATE,ST,THOMAS AND COTTAGES COLUMBIA AND STATE ST,THOMAS AND COTTAGES COLUMBIA AND STATE ST,THOMAS AND COTTAGES COLUMBIA AND STATE ST
4719,NA,MYRTLE AND CLASSON AVE,AVE,MYRTLE AND CLASSON AVE,MYRTLE AND CLASSON AVE,MYRTLE AND CLASSON AVE
4720,NA,CARLTON AND MYRTLE AVE,AVE,CARLTON AND MYRTLE AVE,CARLTON AND MYRTLE AVE,CARLTON AND MYRTLE AVE
4721,100,HIGH,ST,100 HIGH ST,100 HIGH ST,100 HIGH ST
4722,122,HUDSON AVE,AVE,122 HUDSON AVE,122 HUDSON AVE,122 HUDSON AVE
4723,NA,PROSPECT AND ADAMS,ST,PROSPECT AND ADAMS ST,PROSPECT AND ADAMS ST,PROSPECT AND ADAMS ST
4724,125,,ST,125  ST,125  ST,125  ST
4725,15,GARRISON,ST,15 GARRISON ST,15 GARRISON ST,15 GARRISON ST
4726,54,ATLANTIC,ST,54 ATLANTIC ST,54 ATLANTIC ST,54 ATLANTIC ST
4727,290,ADAMS,ST,290 ADAMS ST,290 ADAMS ST,290 ADAMS ST
4728,173,MYRTLE AVE,AVE,173 MYRTLE AVE,173 MYRTLE AVE,173 MYRTLE AVE
4729,68,BALTIC,ST,68 BALTIC ST,68 BALTIC ST,68 BALTIC ST
4730,296,HENRY,ST,296 HENRY ST,296 HENRY ST,296 HENRY ST
4731,220,JAY,ST,220 JAY ST,220 JAY ST,220 JAY ST
4732,NA,FRANKLIN 15,ST,FRANKLIN 15 ST,FRANKLIN 15TH ST,FRANKLIN 15TH ST
4733,NA,KENT AND FLUSHING AVE,AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE
4734,2,HENRY,ST,2 HENRY ST,2 HENRY ST,2 HENRY ST
4735,52,HIGH,ST,52 HIGH ST,52 HIGH ST,52 HIGH ST
4736,7,DOUGLASS,ST,7 DOUGLASS ST,7 DOUGLASS ST,7 DOUGLASS ST
4737,NA,HAMILTON FERRY,ST,HAMILTON FERRY ST,HAMILTON FERRY ST,HAMILTON FERRY ST
4738,48,WILLOW,ST,48 WILLOW ST,48 WILLOW ST,48 WILLOW ST
4739,119,HIGH,ST,119 HIGH ST,119 HIGH ST,119 HIGH ST
4740,69,WILLOW,ST,69 WILLOW ST,69 WILLOW ST,69 WILLOW ST
4741,69,WILLOW,ST,69 WILLOW ST,69 WILLOW ST,69 WILLOW ST
4742,NA,MYRTLE AND FRANKLIN AVE,AVE,MYRTLE AND FRANKLIN AVE,MYRTLE AND FRANKLIN AVE,MYRTLE AND FRANKLIN AVE
4743,357,HUDSON AVE,AVE,357 HUDSON AVE,357 HUDSON AVE,357 HUDSON AVE
4744,NA,NAN AND 3D AVE AND 16 GOWANUS,AVE,NAN AND 3D AVE AND 16 GOWANUS AVE,NAN AND 3RDD AVE AND 16 GOWANUS AVE,NAN AND 3RDD AVE AND 16 GOWANUS AVE
4745,NA,UNION AND COLUMBIA,ST,UNION AND COLUMBIA ST,UNION AND COLUMBIA ST,UNION AND COLUMBIA ST
4746,2,DEGRAW PL,PL,2 DEGRAW PL,2 DEGRAW PL,2 DEGRAW PL
4747,NA,G4 MIDDAGH,ST,G4 MIDDAGH ST,G4TH MIDDAGH ST,G4TH MIDDAGH ST
4748,NA,DEBEVOISE AND LAFAYETTE,ST,DEBEVOISE AND LAFAYETTE ST,DEBEVOISE AND LAFAYETTE ST,DEBEVOISE AND LAFAYETTE ST
4749,146,HUDSON AVE,AVE,146 HUDSON AVE,146 HUDSON AVE,146 HUDSON AVE
4750,114,YORK,ST,114 YORK ST,114 YORK ST,114 YORK ST
4751,253,GOLD,ST,253 GOLD ST,253 GOLD ST,253 GOLD ST
4752,255,GOLD,ST,255 GOLD ST,255 GOLD ST,255 GOLD ST
4753,69,W ILLOW,ST,69 W ILLOW ST,69 W ILLOW ST,69 W ILLOW ST
4754,63,POPLAR,ST,63 POPLAR ST,63 POPLAR ST,63 POPLAR ST
4755,NA,BERGEN AND SMITH,ST,BERGEN AND SMITH ST,BERGEN AND SMITH ST,BERGEN AND SMITH ST
4756,NA,PACIFIC AND BOERUM,ST,PACIFIC AND BOERUM ST,PACIFIC AND BOERUM ST,PACIFIC AND BOERUM ST
4757,NA,COLE AND HAMILTON AVE,AVE,COLE AND HAMILTON AVE,COLE AND HAMILTON AVE,COLE AND HAMILTON AVE
4758,NA,JHENT AND FLUSHING AVE,AVE,JHENT AND FLUSHING AVE,JHENT AND FLUSHING AVE,JHENT AND FLUSHING AVE
4759,208,ATLANTIC,ST,208 ATLANTIC ST,208 ATLANTIC ST,208 ATLANTIC ST
4760,NA,CLINTON AND FLUSHING AVE,AVE,CLINTON AND FLUSHING AVE,CLINTON AND FLUSHING AVE,CLINTON AND FLUSHING AVE
4761,226,NAVY,ST,226 NAVY ST,226 NAVY ST,226 NAVY ST
4762,NA,JAMAICA RD OP PORTLAND,ST,JAMAICA RD OP PORTLAND ST,JAMAICA RD OP PORTLAND ST,JAMAICA RD OP PORTLAND ST
4763,NA,KENT AND PARK AVE,AVE,KENT AND PARK AVE,KENT AND PARK AVE,KENT AND PARK AVE
4764,92,CONCORD,ST,92 CONCORD ST,92 CONCORD ST,92 CONCORD ST
4765,NA,VANDERBILT AVE AND DEAN,AVE,VANDERBILT AVE AND DEAN AVE,VANDERBILT AVE AND DEAN AVE,VANDERBILT AVE AND DEAN AVE
4766,NA,TOMPKINS AND PL AND HARRISON,PL,TOMPKINS AND PL AND HARRISON PL,TOMPKINS AND PL AND HARRISON PL,TOMPKINS AND PL AND HARRISON PL
4767,NA,BOERUM AND BERGEN,ST,BOERUM AND BERGEN ST,BOERUM AND BERGEN ST,BOERUM AND BERGEN ST
4768,NA,KENT AND FLUSHING AVE,AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE,KENT AND FLUSHING AVE
4769,NA,VANDERBILT AVE AND DEAN,AVE,VANDERBILT AVE AND DEAN AVE,VANDERBILT AVE AND DEAN AVE,VANDERBILT AVE AND DEAN AVE
4770,NA,AMITY AND COLUMBIA,ST,AMITY AND COLUMBIA ST,AMITY AND COLUMBIA ST,AMITY AND COLUMBIA ST
4771,11,BALTIC,ST,11 BALTIC ST,11 BALTIC ST,11 BALTIC ST
4772,203,PEARL,ST,203 PEARL ST,203 PEARL ST,203 PEARL ST
4773,64,BUTLER,ST,64 BUTLER ST,64 BUTLER ST,64 BUTLER ST
4774,NA,CRIPPLEBUSH RD EP OLD WALLABOUT RD,ST,CRIPPLEBUSH RD EP OLD WALLABOUT RD ST,CRIPPLEBUSH RD EP OLD WALLABOUT RD ST,CRIPPLEBUSH RD EP OLD WALLABOUT RD ST
4775,0,PEARL,ST,0 PEARL ST,0 PEARL ST,0 PEARL ST
4776,263,HUDSON AVE,AVE,263 HUDSON AVE,263 HUDSON AVE,263 HUDSON AVE
4777,51,TALMAN,ST,51 TALMAN ST,51 TALMAN ST,51 TALMAN ST
4778,29,HICKS,ST,29 HICKS ST,29 HICKS ST,29 HICKS ST
4779,42,HENRY E SLING HENRY 7,ST,42 HENRY E SLING HENRY 7 ST,42 HENRY E SLING HENRY 7TH ST,42 HENRY E SLING HENRY 7TH ST
4780,21,ATLANTIC,ST,21 ATLANTIC ST,21 ATLANTIC ST,21 ATLANTIC ST
4781,129,WILLOW,ST,129 WILLOW ST,129 WILLOW ST,129 WILLOW ST
4782,NA,CO LUMBIA AND DEGRAW,ST,CO LUMBIA AND DEGRAW ST,CO LUMBIA AND DEGRAW ST,CO LUMBIA AND DEGRAW ST
4783,NA,MAIN AND FRONT,ST,MAIN AND FRONT ST,MAIN AND FRONT ST,MAIN AND FRONT ST
4784,NA,VANDERBILT AVE AND JAMAICA RD,AVE,VANDERBILT AVE AND JAMAICA RD AVE,VANDERBILT AVE AND JAMAICA RD AVE,VANDERBILT AVE AND JAMAICA RD AVE
4785,39,WILLOW PL,PL,39 WILLOW PL,39 WILLOW PL,39 WILLOW PL
4786,199,GOLD,ST,199 GOLD ST,199 GOLD ST,199 GOLD ST
4787,151,GOLD,ST,151 GOLD ST,151 GOLD ST,151 GOLD ST
4788,NA,SMITH AND ATLANTIC,ST,SMITH AND ATLANTIC ST,SMITH AND ATLANTIC ST,SMITH AND ATLANTIC ST
4789,199,PEARL,ST,199 PEARL ST,199 PEARL ST,199 PEARL ST
4790,133,CARLL,ST,133 CARLL ST,133 CARLL ST,133 CARLL ST
4791,99,PROSPECT,ST,99 PROSPECT ST,99 PROSPECT ST,99 PROSPECT ST
4792,103,NASSAU,ST,103 NASSAU ST,103 NASSAU ST,103 NASSAU ST
4793,237,ADAMS,ST,237 ADAMS ST,237 ADAMS ST,237 ADAMS ST
4794,64,FULTON,ST,64 FULTON ST,64 FULTON ST,64 FULTON ST
4795,141,CARLL,ST,141 CARLL ST,141 CARLL ST,141 CARLL ST
4796,262,HENRY,ST,262 HENRY ST,262 HENRY ST,262 HENRY ST
4797,208,ATLANTIC,ST,208 ATLANTIC ST,208 ATLANTIC ST,208 ATLANTIC ST
4798,NA,S LIEUTENANT N U 249 JAY AND MYRTLE AVE,AVE,S LIEUTENANT N U 249 JAY AND MYRTLE AVE,S LIEUTENANT N U 249TH JAY AND MYRTLE AVE,S LIEUTENANT N U 249TH JAY AND MYRTLE AVE
4799,89,GOLD,ST,89 GOLD ST,89 GOLD ST,89 GOLD ST
4800,165,CLINTON,ST,165 CLINTON ST,165 CLINTON ST,165 CLINTON ST
4801,183,GOLD,ST,183 GOLD ST,183 GOLD ST,183 GOLD ST
4802,144,MYRTLE AVE,AVE,144 MYRTLE AVE,144 MYRTLE AVE,144 MYRTLE AVE
4803,NA,BRG AND JOHNSON,ST,BRG AND JOHNSON ST,BRG AND JOHNSON ST,BRG AND JOHNSON ST
4804,35,FRONT,ST,35 FRONT ST,35 FRONT ST,35 FRONT ST
4805,NA,WASHINGTON AND FULTON AVE,AVE,WASHINGTON AND FULTON AVE,WASHINGTON AND FULTON AVE,WASHINGTON AND FULTON AVE
4806,NA,COLUMBIA AND PRESIDENT,ST,COLUMBIA AND PRESIDENT ST,COLUMBIA AND PRESIDENT ST,COLUMBIA AND PRESIDENT ST
4807,33,NAVY,ST,33 NAVY ST,33 NAVY ST,33 NAVY ST
4808,28,LIBERTY,ST,28 LIBERTY ST,28 LIBERTY ST,28 LIBERTY ST
4809,NA,RED HOOK,ST,RED HOOK ST,RED HOOK ST,RED HOOK ST
4810,39,WILLOUGHBY,ST,39 WILLOUGHBY ST,39 WILLOUGHBY ST,39 WILLOUGHBY ST
4811,97,LIVINGSTON,ST,97 LIVINGSTON ST,97 LIVINGSTON ST,97 LIVINGSTON ST
4812,233,JAY,ST,233 JAY ST,233 JAY ST,233 JAY ST
4813,22,MYRTLE AVE,AVE,22 MYRTLE AVE,22 MYRTLE AVE,22 MYRTLE AVE
4814,77,REMSEN,ST,77 REMSEN ST,77 REMSEN ST,77 REMSEN ST
4815,107,LIVINGSTON,ST,107 LIVINGSTON ST,107 LIVINGSTON ST,107 LIVINGSTON ST
4816,91,TILLARY F LY JOHN 175 YORK,ST,91 TILLARY F LY JOHN 175 YORK ST,91 TILLARY F LY JOHN 175TH YORK ST,91 TILLARY F LY JOHN 175TH YORK ST
4817,14,LIBERTY,ST,14 LIBERTY ST,14 LIBERTY ST,14 LIBERTY ST
4818,NA,RAYMOND AND LAFAYETTE,ST,RAYMOND AND LAFAYETTE ST,RAYMOND AND LAFAYETTE ST,RAYMOND AND LAFAYETTE ST
4819,NA,FULTON AND WASHINGTON AVE,AVE,FULTON AND WASHINGTON AVE,FULTON AND WASHINGTON AVE,FULTON AND WASHINGTON AVE
4820,13,JOHNSON,ST,13 JOHNSON ST,13 JOHNSON ST,13 JOHNSON ST
4821,77,NASSAU,ST,77 NASSAU ST,77 NASSAU ST,77 NASSAU ST
4822,32,GREEN LN,LN,32 GREEN LN,32 GREEN LN,32 GREEN LN
4823,NA,FLEET U FULTON AVE,AVE,FLEET U FULTON AVE,FLEET U FULTON AVE,FLEET U FULTON AVE
4824,244,GOLD,ST,244 GOLD ST,244 GOLD ST,244 GOLD ST
4825,NA,ATLANTIC BANK 74 CLARK,ST,ATLANTIC BANK 74 CLARK ST,ATLANTIC BANK 74TH CLARK ST,ATLANTIC BANK 74TH CLARK ST
4826,17,FRONT,ST,17 FRONT ST,17 FRONT ST,17 FRONT ST
4827,NA,MYRTLE AVE AND CARLTON AVE LTNMENS JOHN 78 KENT AVE,AVE,MYRTLE AVE AND CARLTON AVE LTNMENS JOHN 78 KENT AVE,MYRTLE AVE AND CARLTON AVE LTNMENS JOHN 78TH KENT AVE,MYRTLE AVE AND CARLTON AVE LTNMENS JOHN 78TH KENT AVE
4828,NA,NAVY AND LAFAYETTE,ST,NAVY AND LAFAYETTE ST,NAVY AND LAFAYETTE ST,NAVY AND LAFAYETTE ST
4829,NA,S3 PROSPECT,ST,S3 PROSPECT ST,S3RD PROSPECT ST,S3RD PROSPECT ST
4830,NA,16 AND 3D AVE GOWANUS,AVE,16 AND 3D AVE GOWANUS AVE,16TH AND 3D AVE GOWANUS AVE,16TH AND 3D AVE GOWANUS AVE
4831,28,FRONT,ST,28 FRONT ST,28 FRONT ST,28 FRONT ST
4832,NA,SL PRINCE,ST,SL PRINCE ST,SL PRINCE ST,SL PRINCE ST
4833,15,SACKETT,ST,15 SACKETT ST,15 SACKETT ST,15 SACKETT ST
4834,32,N C HARLTON Y,ST,32 N C HARLTON Y ST,32 N C HARLTON Y ST,32 N C HARLTON Y ST
4835,NA,FURMAN AND STATE,ST,FURMAN AND STATE ST,FURMAN AND STATE ST,FURMAN AND STATE ST
4836,240,FULTON,ST,240 FULTON ST,240 FULTON ST,240 FULTON ST
4837,NA,WASHINGTON AVE AND BEDFORD RD,AVE,WASHINGTON AVE AND BEDFORD RD AVE,WASHINGTON AVE AND BEDFORD RD AVE,WASHINGTON AVE AND BEDFORD RD AVE
4838,NA,SCHERMERHORN AND BOND,ST,SCHERMERHORN AND BOND ST,SCHERMERHORN AND BOND ST,SCHERMERHORN AND BOND ST
4839,189,HENRY,ST,189 HENRY ST,189 HENRY ST,189 HENRY ST
4840,17,HUDSON AVE,AVE,17 HUDSON AVE,17 HUDSON AVE,17 HUDSON AVE
4841,NA,LABORER LSTHST AND 4 AVE GOWANUS,AVE,LABORER LSTHST AND 4 AVE GOWANUS AVE,LABORER LSTHST AND 4TH AVE GOWANUS AVE,LABORER LSTHST AND 4TH AVE GOWANUS AVE
4842,NA,CHAPEL AND JAY,ST,CHAPEL AND JAY ST,CHAPEL AND JAY ST,CHAPEL AND JAY ST
