Full Address,H Status-flag,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City,new h address-flag,new h house number,new h street name,new h city,new h county,unidentified h info,new h street 1,new h street 2,new h street type,h house number modifier,new address2 house number,new address2 street name,new address2 street 1,new address2 street 2,new address2 street type,new address2 city,new address2 county,unidentified address2 info,address2 house number modifier
445 Water N Y h Flushing n Clas-,Assume,445 WATER N Y H FLUSHING N CLAS,445,WATER N Y H FLUSHING N CLAS-,,,,,,h in between,,,FLUSHING,,N CLAS,,,,,445,WATER,,,,,,N Y,
Plymouth n Catherine ferry h Powers c Atlantic,Assume,PLYMOUTH N CATHERINE FERRY H POWERS C ATLANTIC,,,PLYMOUTH N CATHERINE FERRY H POWERS C ATLANTIC,,,,,h in between,,ATLANTIC,,,POWERS C,,,,,,PLYMOUTH,,,,ERIN,,N CATHE FERRY,
50 Atlantic h Willow n Atlantic,Assume,50 ATLANTIC H WILLOW N ATLANTIC,50,ATLANTIC H WILLOW N ATLANTIC,,,,,,h in between,,ATLANTIC,,,WILLOW N,,,,,50,ATLANTIC,,,,,,,
N Y h 71 Livingston n Smith,Assume,N Y H 71 LIVINGSTON N SMITH,,,N Y H 71 LIVINGSTON N SMITH,,,,,h in between,71,LIVINGSTON,,,N SMITH,,,,,,,,,,,,N Y,
70.5 Bridge h 1S8 Water,Assume,70.5 BRIDGE H 1S8 WATER,,,70.5 BRIDGE H 1S8 WATER,,,,,h in between,,WATER,,,1S8,,,,,70,RIDGE,,,,,,B,70.5
N Y h 68 Harrison,Assume,N Y H 68 HARRISON,,,N Y H 68 HARRISON,,,,,h in between,,68,HARRIS,,ON,,,,,,,,,,,,N Y,
N Y h 72 Baltic n Henry,Assume,N Y H 72 BALTIC N HENRY,,,N Y H 72 BALTIC N HENRY,,,,,h in between,72,N HENRY,,,BALTIC,,,,,,,,,,,,N Y,
Freemans Buildings 291 Fulton h 174 Washington,Assume,FREEMANS BUILDINGS 291 FULTON H 174 WASHINGTON,,,FREEMANS BUILDINGS 291 FULTON H 174 WASHINGTON,,,,,h in between,174,WASHINGTON,,,H,,,,,,FREEMAN,,,,,FULTON,S BUILDINGS 291,
229 Pearl N Y' h Duffield n Fulton av,Assume,229 PEARL N Y' H DUFFIELD N FULTON AV,229,PEARL N Y' H DUFFIELD N FULTON AV,,,,,,h in between,,DUFFIELD,,FULTON,N  AV,,,,,229,PEARL,,,,,,N Y',
N Y h 104 Prospect,Assume,N Y H 104 PROSPECT,,,N Y H 104 PROSPECT,,,,,h in between,104,PROSPECT,,,H,,,,,,,,,,,,N Y,
19 Dean h c Bergen & Court,Assume,19 DEAN H C BERGEN & COURT,19,DEAN H C BERGEN & COURT,,,,,,h in between,,BERGEN,,,C  & COURT,,,,,19,DEAN,,,,,,,
2 Livingston h 105 Pineapple,Assume,2 LIVINGSTON H 105 PINEAPPLE,2,LIVINGSTON H 105 PINEAPPLE,,,,,,h in between,105,PINEAPPLE,,,H,,,,,2,LIVINGSTON,,,,,,,
Dwight Wm Rmer. 2 Liberty N YÃ¢ÂÂ h Clinton n Harrison,Assume,DWIGHT WM RMER. 2 LIBERTY N YÃÂÂ H CLINTON N HARRISON,,,DWIGHT WM RMER. 2 LIBERTY N YÃ¢ÂÂ H CLINTON N HARRISON,,,,,h in between,,CLINTON,HARRIS,,N ON,,,,,,LIBERTY,,,,,,DWIGHT WM RMER. 2  N YÃÂÂ,
1st Dutch Reformed Church h Livingston n Court,Assume,1ST DUTCH REFORMED CHURCH H LIVINGSTON N COURT,,,1ST DUTCH REFORMED CHURCH H LIVINGSTON N COURT,,,,,h in between,,LIVINGSTON,,,N COURT,,,,,,CHURCH,,,,,,1ST DUTCH REFORMED,
27 Wall N Y h 2 Colonnade row Columbia,Assume,27 WALL N Y H 2 COLONNADE ROW COLUMBIA,27,WALL N Y H 2 COLONNADE ROW COLUMBIA,,,,,,h in between,2,COLUMBIA,,,COLONNADE ROW,,,,,27,WALL,,,,,,N Y,
169 Fulton N Y h 46 Fulton,Assume,169 FULTON N Y H 46 FULTON,169,FULTON N Y H 46 FULTON,,,,,,h in between,46,FULTON,,,H,,,,,169,FULTON,,,,,,N Y,
Court c Bergen h Hoyt n Dean,Assume,COURT C BERGEN H HOYT N DEAN,,,COURT C BERGEN H HOYT N DEAN,,,,,h in between,,DEAN,,,HOYT N,,,,,,BERGEN,,,,,,COURT C,
83 Hicks c Pineapple h 86,Assume,83 HICKS C PINEAPPLE H 86,83,HICKS C PINEAPPLE H 86,,,,,,h in between,,86,,,H,,,,,83,PINEAPPLE,,,,,,HICKS C,
Main c York and 138 Fulton h Fleets alley,Assume,MAIN C YORK AND 138 FULTON H FLEETS ALLEY,,,MAIN C YORK AND 138 FULTON H FLEETS ALLEY,,,,,h in between,,,LEE,,FTS ALLEY,,,,,,FULTON,,,,,,MAIN C YORK AND 138,
N Y h 203 Bridge,Assume,N Y H 203 BRIDGE,,,N Y H 203 BRIDGE,,,,,h in between,203,RIDGE,,,B,,,,,,,,,,,,N Y,
29 MerchantsÃ¢ÂÂ Exchange NY h 68 Baltic,Assume,29 MERCHANTSÃÂÂ EXCHANGE NY H 68 BALTIC,29,MERCHANTSÃ¢ÂÂ EXCHANGE NY H 68 BALTIC,,,,,,h in between,68,BALTIC,,,H,,,,,,29,,,,NY,,MERCHANTSÃÂÂ EXCHANGE,
113 Front N Y h 296 Henry,Assume,113 FRONT N Y H 296 HENRY,113,FRONT N Y H 296 HENRY,,,,,,h in between,296,HENRY,,,H,,,,,113,FRONT,,,,,,N Y,
N Y h 48 Willow,Assume,N Y H 48 WILLOW,,,N Y H 48 WILLOW,,,,,h in between,48,WILLOW,,,H,,,,,,,,,,,,N Y,
N Y h 69 YVillow,Assume,N Y H 69 YVILLOW,,,N Y H 69 YVILLOW,,,,,h in between,,69,,,YVILLOW,,,,,,,,,,,,N Y,
N Y h 69 Willow,Assume,N Y H 69 WILLOW,,,N Y H 69 WILLOW,,,,,h in between,69,WILLOW,,,H,,,,,,,,,,,,N Y,
27th st n 5th av h c 3d av and 16th st Gowanus,Assume,27TH ST N 5TH AV H C 3D AV AND 16TH ST GOWANUS,,,27TH ST N 5TH AV H C 3D AV AND 16TH ST GOWANUS,,,,,h in between,,AV A,,,C 3D ND 16TST GOWANUS,,,,,,N 5,,,,,,27TH ST TH AV,
1 Front h 64 Fulton,Assume,1 FRONT H 64 FULTON,1,FRONT H 64 FULTON,,,,,,h in between,64,FULTON,,,H,,,,,1,FRONT,,,,,,,
43 Fulton c Front h Bridge c Johnson,Assume,43 FULTON C FRONT H BRIDGE C JOHNSON,43,FULTON C FRONT H BRIDGE C JOHNSON,,,,,,h in between,,JOHNSON,,,BRIDGE C,,,,,43,FULTON,,,,,,C FRONT,
High n Gold h 33 Navy n Concord,Assume,HIGH N GOLD H 33 NAVY N CONCORD,,,HIGH N GOLD H 33 NAVY N CONCORD,,,,,h in between,33,CONCORD,,,NAVY N,,,,,,HIGH,,,,,,N GOLD,
57 South N Y h 97 Livingston,Assume,57 SOUTH N Y H 97 LIVINGSTON,57,SOUTH N Y H 97 LIVINGSTON,,,,,,h in between,97,LIVINGSTON,,,H,,,,,,57,,,,,,SOUTH N Y,
52 William N Y h 77 Remsen,Assume,52 WILLIAM N Y H 77 REMSEN,52,WILLIAM N Y H 77 REMSEN,,,,,,h in between,77,REMSEN,,,H,,,,,52,WILLIAM,,,,,,N Y,
N Y7 h 14 Liberty,Assume,N Y7 H 14 LIBERTY,,,N Y7 H 14 LIBERTY,,,,,h in between,14,LIBERTY,,,H,,,,,,7,,,,,,N Y,
146 Front N Y h 13 Johnson,Assume,146 FRONT N Y H 13 JOHNSON,146,FRONT N Y H 13 JOHNSON,,,,,,h in between,13,JOHNSON,,,H,,,,,146,FRONT,,,,,,N Y,
Plymouth c Adams h 32 C'harlton N Y,Assume,PLYMOUTH C ADAMS H 32 C'HARLTON N Y,,,PLYMOUTH C ADAMS H 32 C'HARLTON N Y,,,,,h in between,,32,,,C'HARLTON N Y,,,,,,PLYMOUTH,,,,,,C ADAMS,
13 South William N Y h 189 Henry n State,Assume,13 SOUTH WILLIAM N Y H 189 HENRY N STATE,13,SOUTH WILLIAM N Y H 189 HENRY N STATE,,,,,,h in between,189,HENRY,,,N STATE,,,,,13,WILLIAM,,,,,,SOUTH  N Y,
prepared chalk mnufaÃ¢ÂÂr 50 Fulton h 158 Front,Assume,PREPARED CHALK MNUFAÃÂÂR 50 FULTON H 158 FRONT,,,PREPARED CHALK MNUFAÃ¢ÂÂR 50 FULTON H 158 FRONT,,,,,h in between,158,FRONT,,,H,,,,,,FULTON,,,,,,PREPARED CHALK MNUFAÃÂÂR 50,
113 Wall N Y h State n Bond,Assume,113 WALL N Y H STATE N BOND,113,WALL N Y H STATE N BOND,,,,,,h in between,,STATE,,,N BOND,,,,,113,WALL,,,,,,N Y,
1 28 Atlantic h 99 Clinton,Assume,1 28 ATLANTIC H 99 CLINTON,1,28 ATLANTIC H 99 CLINTON,,,,,,h in between,99,CLINTON,,,H,,,,,1,ATLANTIC,,,,,,28,
104 Fulton N Y h 82 Nassau,Assume,104 FULTON N Y H 82 NASSAU,104,FULTON N Y H 82 NASSAU,,,,,,h in between,82,NASSAU,,,H,,,,,104,FULTON,,,,,,N Y,
leather merchant32Ferry N Y h 80 Clark,Assume,LEATHER MERCHANT32FERRY N Y H 80 CLARK,,,LEATHER MERCHANT32FERRY N Y H 80 CLARK,,,,,h in between,80,CLARK,,,H,,,,,,FERRY,,,,,,LEATHER MERCHANT32 N Y,
Hamilton av n Dock h 12 Cottage row Columbia n Degraw,Assume,HAMILTON AV N DOCK H 12 COTTAGE ROW COLUMBIA N DEGRAW,,,HAMILTON AV N DOCK H 12 COTTAGE ROW COLUMBIA N DEGRAW,,,,,h in between,12,COLUMBIA,,,COTTAGE ROW  N DEGRAW,,,,,,HAMILTON,,,,,,AV N DOCK,
63 Atlantic h Union n Columbia,Assume,63 ATLANTIC H UNION N COLUMBIA,63,ATLANTIC H UNION N COLUMBIA,,,,,,h in between,,COLUMBIA,,UNION,N,,,,,63,ATLANTIC,,,,,,,
N Y h 247 Adams,Assume,N Y H 247 ADAMS,,,N Y H 247 ADAMS,,,,,h in between,247,ADAMS,,,H,,,,,,,,,,,,N Y,
N Y h 141 High,Assume,N Y H 141 HIGH,,,N Y H 141 HIGH,,,,,h in between,141,HIGH,,,H,,,,,,,,,,,,N Y,
N Y h 247 Adams,Assume,N Y H 247 ADAMS,,,N Y H 247 ADAMS,,,,,h in between,247,ADAMS,,,H,,,,,,,,,,,,N Y,
92 South N Y h 222 Adams,Assume,92 SOUTH N Y H 222 ADAMS,92,SOUTH N Y H 222 ADAMS,,,,,,h in between,222,ADAMS,,,H,,,,,,92,,,,,,SOUTH N Y,
N Y h 178 Adams,Assume,N Y H 178 ADAMS,,,N Y H 178 ADAMS,,,,,h in between,178,ADAMS,,,H,,,,,,,,,,,,N Y,
31 Fulton N Y h 178 Adams,Assume,31 FULTON N Y H 178 ADAMS,31,FULTON N Y H 178 ADAMS,,,,,,h in between,178,ADAMS,,,H,,,,,31,FULTON,,,,,,N Y,
145 Water N Y h 81 Willougby,Assume,145 WATER N Y H 81 WILLOUGBY,145,WATER N Y H 81 WILLOUGBY,,,,,,h in between,,81,,,WILLOUGBY,,,,,145,WATER,,,,,,N Y,
"Carlton av n Pacific h'ay Charles M,104 Front N Y h 127 Willow",Assume,104 FRONT N Y H 127 WILLOW,104,FRONT N Y H 127 WILLOW,,Carlton av n Pacific h'ay Charles M,,,Carlton av n Pacific h'ay Charles M,h in between,127,WILLOW,,,H,,,,,104,FRONT,,,,,,N Y,
Union market Tillary c Fulton h Lawrence b Myrtle av and Willoughby,Assume,UNION MARKET TILLARY C FULTON H LAWRENCE B MYRTLE AV AND WILLOUGHBY,,,UNION MARKET TILLARY C FULTON H LAWRENCE B MYRTLE AV AND WILLOUGHBY,,,,,h in between,,WILLOUGHBY,,,LAWRENCE B MYRTLE AV AND,,,,,,TILLARY,,,,,FULTON,UNION MARKET  C,
"179 Prospect T'erris Christopher,66 Front NY h c 3d av & Bridge rd Gowanus",Assume,66 FRONT NY H C 3D AV & BRIDGE RD GOWANUS,66,FRONT NY H C 3D AV & BRIDGE RD GOWANUS,,179 Prospect T'erris Christopher,179,Prospect T'erris Christopher,,h in between,,RIDGE,,,C 3D AV & B RD GOWANUS,,,,,66,FRONT,,,,NY,,,
131 William N Y h 138 Hicks,Assume,131 WILLIAM N Y H 138 HICKS,131,WILLIAM N Y H 138 HICKS,,,,,,h in between,138,HICKS,,,H,,,,,131,WILLIAM,,,,,,N Y,
N Y h Wyckoff'c Bond,Assume,N Y H WYCKOFF'C BOND,,,N Y H WYCKOFF'C BOND,,,,,h in between,,WYCKOFF,,,'C BOND,,,,,,,,,,,,N Y,
167 Atlantic h Hoyt b Atlantic and State.,Assume,167 ATLANTIC H HOYT B ATLANTIC AND STATE.,167,ATLANTIC H HOYT B ATLANTIC AND STATE.,,,,,,h in between,,ATLANTIC,,,HOYT B  AND STATE,,,,,167,ATLANTIC,,,,,,,
12 Pine N Y h Court op Dean,Assume,12 PINE N Y H COURT OP DEAN,12,PINE N Y H COURT OP DEAN,,,,,,h in between,,DEAN,,,COURT OP,,,,,12,PINE,,,,,,N Y,
252 Fulton h Tillary'c Adams,Assume,252 FULTON H TILLARY'C ADAMS,252,FULTON H TILLARY'C ADAMS,,,,,,h in between,,TILLARY,,,'C ADAMS,,,,,252,FULTON,,,,,,,
44 James h 139 Carll,Assume,44 JAMES H 139 CARLL,44,JAMES H 139 CARLL,,,,,,h in between,,139,,,CARLL,,,,,44,JAMES,,,,,,,
musical inst manÃ¢ÂÂr Franklin Square N Y h 306 Gold,Assume,MUSICAL INST MANÃÂÂR FRANKLIN SQUARE N Y H 306 GOLD,,,MUSICAL INST MANÃ¢ÂÂR FRANKLIN SQUARE N Y H 306 GOLD,,,,,h in between,306,GOLD,,,H,,,,,,FRANKLIN SQ,,,,L I,,MUSICANST MANÃÂÂR UARE N Y,
11 South NY' h 115 Clinton,Assume,11 SOUTH NY' H 115 CLINTON,11,SOUTH NY' H 115 CLINTON,,,,,,h in between,115,CLINTON,,,H,,,,,,11,,,,NY,,SOUTH ',
16 Water N Y h Dean n Hoyt,Assume,16 WATER N Y H DEAN N HOYT,16,WATER N Y H DEAN N HOYT,,,,,,h in between,,DEAN,,,N HOYT,,,,,16,WATER,,,,,,N Y,
N Y h 23 Schermerhorn,Assume,N Y H 23 SCHERMERHORN,,,N Y H 23 SCHERMERHORN,,,,,h in between,23,SCHERMERHORN,,,H,,,,,,,,,,,,N Y,
N Y h Mansion House 121 Hicks young ladiesÃ¢ÂÂ school) 267 Atlantic,Assume,N Y H MANSION HOUSE 121 HICKS YOUNG LADIESÃÂÂ SCHOOL) 267 ATLANTIC,,,N Y H MANSION HOUSE 121 HICKS YOUNG LADIESÃ¢ÂÂ SCHOOL) 267 ATLANTIC,,,,,h in between,,ATLANTIC,,,MANSION HOUSE 121 HICKS YOUNG LADIESÃÂÂ SCHOOL) 267,,,,,,,,,,,,N Y,
63 Atlantic h Columbia c Sackett,Assume,63 ATLANTIC H COLUMBIA C SACKETT,63,ATLANTIC H COLUMBIA C SACKETT,,,,,,h in between,,COLUMBIA,,,C SACKETT,,,,,63,ATLANTIC,,,,,,,
27 Atlantic h 177 Adams,Assume,27 ATLANTIC H 177 ADAMS,27,ATLANTIC H 177 ADAMS,,,,,,h in between,177,ADAMS,,,H,,,,,27,ATLANTIC,,,,,,,
N Y h Fleet n Fulton av,Assume,N Y H FLEET N FULTON AV,,,N Y H FLEET N FULTON AV,,,,,h in between,,FULTON,LEE,,FT N  AV,,,,,,,,,,,,N Y,
82 Broad st N Y h 42 Remsen,Assume,82 BROAD ST N Y H 42 REMSEN,82,BROAD ST N Y H 42 REMSEN,,,,,,h in between,42,REMSEN,,,H,,,,,82,BROAD,,,,,,ST N Y,
103 YVall N Y h S2 Willow c Clark,Assume,103 YVALL N Y H S2 WILLOW C CLARK,103,YVALL N Y H S2 WILLOW C CLARK,,,,,,h in between,,WILLOW,,,S2  C CLARK,,,,,,103,,,,,,YVALL N Y,
43 Myrtle av h Devevoise n Lafayette,Assume,43 MYRTLE AV H DEVEVOISE N LAFAYETTE,43,MYRTLE AV H DEVEVOISE N LAFAYETTE,,,,,,h in between,,LAFAYETTE,,,DEVEVOISE N,,,,,,43,,,,,,MYRTLE AV,
96 Main h 28 Prospect,Assume,96 MAIN H 28 PROSPECT,96,MAIN H 28 PROSPECT,,,,,,h in between,28,PROSPECT,,,H,,,,,96,MAIN,,,,,,,
Daily Advertiser 35 Fulton h 146 Bridge,Assume,DAILY ADVERTISER 35 FULTON H 146 BRIDGE,,,DAILY ADVERTISER 35 FULTON H 146 BRIDGE,,,,,h in between,146,RIDGE,,,B,,,,,,FULTON,,,,,,DAILY ADVERTISER 35,
89 Fulton h 108 Jay,Assume,89 FULTON H 108 JAY,89,FULTON H 108 JAY,,,,,,h in between,108,JAY,,,H,,,,,89,FULTON,,,,,,,
"oil and candle factory , John n Jay h 149 YVashington",Assume,"OIL AND CANDLE FACTORY , JOHN N JAY H 149 YVASHINGTON",,,"OIL AND CANDLE FACTORY , JOHN N JAY H 149 YVASHINGTON",,,,,h in between,149,ASH,,,YVINGTON,,,,,,JOHN,,,,,,"OIL AND CANDLE FACTORY ,  N JAY",
N Y h 108 High,Assume,N Y H 108 HIGH,,,N Y H 108 HIGH,,,,,h in between,108,HIGH,,,H,,,,,,,,,,,,N Y,
Doughty n Everett h 132 Adams,Assume,DOUGHTY N EVERETT H 132 ADAMS,,,DOUGHTY N EVERETT H 132 ADAMS,,,,,h in between,132,ADAMS,,,H,,,,,,DOUGHTY,,,,,,N EVERETT,
63 Fulton and Water n Beekman N Y h 47 Hicks,Assume,63 FULTON AND WATER N BEEKMAN N Y H 47 HICKS,63,FULTON AND WATER N BEEKMAN N Y H 47 HICKS,,,,,,h in between,47,HICKS,,,H,,,,,63,BEEKMAN,,,,,FULTON,AND WATER N  N Y,
N Y h 98 Columbia,Assume,N Y H 98 COLUMBIA,,,N Y H 98 COLUMBIA,,,,,h in between,98,COLUMBIA,,,H,,,,,,,,,,,,N Y,
151 Nassau N Y h 117 Adams,Assume,151 NASSAU N Y H 117 ADAMS,151,NASSAU N Y H 117 ADAMS,,,,,,h in between,117,ADAMS,,,H,,,,,151,NASSAU,,,,,,N Y,
N Y' h Court n State,Assume,N Y' H COURT N STATE,,,N Y' H COURT N STATE,,,,,h in between,,STATE,,,COURT N,,,,,,,,,,,,N Y',
3d av n 19th st h 20th st b 3d & Sth av Gowanus,Assume,3D AV N 19TH ST H 20TH ST B 3D & STH AV GOWANUS,,,3D AV N 19TH ST H 20TH ST B 3D & STH AV GOWANUS,,,,,h in between,,AV G,,,20TST B 3D & STOWANUS,,,,,,N 1,,,,,,3D AV 9TH ST,
96 Myrtle av h 140 York,Assume,96 MYRTLE AV H 140 YORK,96,MYRTLE AV H 140 YORK,,,,,,h in between,140,YORK,,,H,,,,,,96,,,,,,MYRTLE AV,
N Y h 32 Clinton,Assume,N Y H 32 CLINTON,,,N Y H 32 CLINTON,,,,,h in between,32,CLINTON,,,H,,,,,,,,,,,,N Y,
ISO South N Y h 273 Gold,Assume,ISO SOUTH N Y H 273 GOLD,,,ISO SOUTH N Y H 273 GOLD,,,,,h in between,273,GOLD,,,H,,,,,,,,,,,,ISO SOUTH N Y,
St feed store 21 Fulton h 36 East 26th st N Y',Assume,ST FEED STORE 21 FULTON H 36 EAST 26TH ST N Y',,,ST FEED STORE 21 FULTON H 36 EAST 26TH ST N Y',,,,,h in between,36,26,,,EAST TST N Y',,,,,,FULTON,,,,,,ST FEED STORE 21,
feed store 21 Fulton h 36 East 26th st N Y,Assume,FEED STORE 21 FULTON H 36 EAST 26TH ST N Y,,,FEED STORE 21 FULTON H 36 EAST 26TH ST N Y,,,,,h in between,36,26,,,EAST TST N Y,,,,,,FULTON,,,,,,FEED STORE 21,
picture frame store & portrait painter 141 Fulton h 4S Nassau,Assume,PICTURE FRAME STORE & PORTRAIT PAINTER 141 FULTON H 4S NASSAU,,,PICTURE FRAME STORE & PORTRAIT PAINTER 141 FULTON H 4S NASSAU,,,,,h in between,,NASSAU,,,4S,,,,,,FULTON,,,,,,PICTURE FRAME STORE & PORTRAIT PAINTER 141,
56 Myrtle av h 10 Lafayette,Assume,56 MYRTLE AV H 10 LAFAYETTE,56,MYRTLE AV H 10 LAFAYETTE,,,,,,h in between,10,LAFAYETTE,,,H,,,,,,56,,,,,,MYRTLE AV,
33 Liberty N Y h 128 Adams,Assume,33 LIBERTY N Y H 128 ADAMS,33,LIBERTY N Y H 128 ADAMS,,,,,,h in between,128,ADAMS,,,H,,,,,33,LIBERTY,,,,,,N Y,
74 Main h 101 Water c Washington,Assume,74 MAIN H 101 WATER C WASHINGTON,74,MAIN H 101 WATER C WASHINGTON,,,,,,h in between,101,WASHINGTON,,,WATER C,,,,,74,MAIN,,,,,,,
Smith c Pacific h 318 Atlantic,Assume,SMITH C PACIFIC H 318 ATLANTIC,,,SMITH C PACIFIC H 318 ATLANTIC,,,,,h in between,318,ATLANTIC,,,H,,,,,,PACIFIC,,,,,,SMITH C,
270 Adams h 20G Jay,Assume,270 ADAMS H 20G JAY,270,ADAMS H 20G JAY,,,,,,h in between,,JAY,,,20G,,,,,270,ADAMS,,,,,,,
N Y h 120 Henry,Assume,N Y H 120 HENRY,,,N Y H 120 HENRY,,,,,h in between,120,HENRY,,,H,,,,,,,,,,,,N Y,
73 Nassau N Y h 16 Cottage row Columbia n Sackett,Assume,73 NASSAU N Y H 16 COTTAGE ROW COLUMBIA N SACKETT,73,NASSAU N Y H 16 COTTAGE ROW COLUMBIA N SACKETT,,,,,,h in between,16,COLUMBIA,,,COTTAGE ROW  N SACKETT,,,,,73,NASSAU,,,,,,N Y,
N Y h 77 Cranberry,Assume,N Y H 77 CRANBERRY,,,N Y H 77 CRANBERRY,,,,,h in between,77,CRANBERRY,,,H,,,,,,,,,,,,N Y,
Atlantic Dock h 32 Cottage row Furman,Assume,ATLANTIC DOCK H 32 COTTAGE ROW FURMAN,,,ATLANTIC DOCK H 32 COTTAGE ROW FURMAN,,,,,h in between,32,FURMAN,,,COTTAGE ROW,,,,,,ATLANTIC DOCK,,,,,,,
99 Gold h 97,Assume,99 GOLD H 97,99,GOLD H 97,,,,,,h in between,,97,,,H,,,,,99,GOLD,,,,,,,
40 Fulton h 105 Pineapple,Assume,40 FULTON H 105 PINEAPPLE,40,FULTON H 105 PINEAPPLE,,,,,,h in between,105,PINEAPPLE,,,H,,,,,40,FULTON,,,,,,,
270 Atlantic h 271,Assume,270 ATLANTIC H 271,270,ATLANTIC H 271,,,,,,h in between,,271,,,H,,,,,270,ATLANTIC,,,,,,,
22 Clinton h Jamaica rd,Assume,22 CLINTON H JAMAICA RD,22,CLINTON H JAMAICA RD,,,,,,h in between,,,JAMAICA,,RD,,,,,22,CLINTON,,,,,,,
2 Montague Hall Court st h 299 Bridge,Assume,2 MONTAGUE HALL COURT ST H 299 BRIDGE,2,MONTAGUE HALL COURT ST H 299 BRIDGE,,,,,,h in between,299,RIDGE,,,B,,,,,2,MONTAGUE,,,,,,HALL COURT ST,
N Y h 63 Nassau,Assume,N Y H 63 NASSAU,,,N Y H 63 NASSAU,,,,,h in between,63,NASSAU,,,H,,,,,,,,,,,,N Y,
171 Broadway N Y h 37 Willoughby,Assume,171 BROADWAY N Y H 37 WILLOUGHBY,171,BROADWAY N Y H 37 WILLOUGHBY,,,,,,h in between,37,WILLOUGHBY,,,H,,,,,171,BROADWAY,,,,,,N Y,
h 20 Wyckoff,TRUE,H 20 WYCKOFF,20,WYCKOFF,,,,,,start with h,20,WYCKOFF,,,H,,,,,,,,,,,,,
120 Maiden lane N Y h 96 Hicks,Assume,120 MAIDEN LANE N Y H 96 HICKS,120,MAIDEN LANE N Y H 96 HICKS,,,,,,h in between,96,HICKS,,,H,,,,,120,MAIDEN LA,,,,,,NE N Y,
N Y h 58 Fulton c Hicks,Assume,N Y H 58 FULTON C HICKS,,,N Y H 58 FULTON C HICKS,,,,,h in between,58,FULTON,,,C HICKS,,,,,,,,,,,,N Y,
willow ware &c 195 Washington N Y' h 143 Front,Assume,WILLOW WARE &C 195 WASHINGTON N Y' H 143 FRONT,,,WILLOW WARE &C 195 WASHINGTON N Y' H 143 FRONT,,,,,h in between,143,FRONT,,,H,,,,,,WASHINGTON,,,,,,WILLOW WARE &C 195  N Y',
37 Pearl st N Y h Deann Smith,Assume,37 PEARL ST N Y H DEANN SMITH,37,PEARL ST N Y H DEANN SMITH,,,,,,h in between,,SMITH,,,DEANN,,,,,37,PEARL,,,,,,ST N Y,
Fu-lton market N Y h 194 Jay,Assume,FULTON MARKET N Y H 194 JAY,,,FU-LTON MARKET N Y H 194 JAY,,,,,h in between,194,JAY,,,H,,,,,,FULTON MARKET,,,,,,N Y,
1G6 Jay h 171 Fulton,Assume,1G6 JAY H 171 FULTON,,,1G6 JAY H 171 FULTON,,,,,h in between,171,FULTON,,,H,,,,,,JAY,,,,,,1G6,
77 Pearl h Water n Jay,Assume,77 PEARL H WATER N JAY,77,PEARL H WATER N JAY,,,,,,h in between,,WATER,,,N JAY,,,,,77,PEARL,,,,,,,
22 Ann N Y h Cumberland n Ã¢ÂÂr 124 & 126 Furman h 254 Bridge Park av .,Assume,22 ANN N Y H CUMBERLAND N ÃÂÂR 124 & 126 FURMAN H 254 BRIDGE PARK AV .,22,ANN N Y H CUMBERLAND N Ã¢ÂÂR 124 & 126 FURMAN H 254 BRIDGE PARK AV .,,,,,,h in between,,CUMBERLAND,,,N ÃÂÂR 124 & 126 FURMAN 254 BRIDGE PARK AV .,,,,,22,ANN,,,,,,N Y,
215 Pearl N Y h Clinton av n Bedford rd,Assume,215 PEARL N Y H CLINTON AV N BEDFORD RD,215,PEARL N Y H CLINTON AV N BEDFORD RD,,,,,,h in between,,BEDFORD,,CLINTON,AV N  RD,,,,,215,PEARL,,,,,,N Y,
"60 Pearl N Y"" h 41 Butler",Assume,"60 PEARL N Y"" H 41 BUTLER",60,"PEARL N Y"" H 41 BUTLER",,,,,,h in between,41,BUTLER,,,H,,,,,60,PEARL,,,,,,"N Y""",
59 Atlantic h 33 Prince,Assume,59 ATLANTIC H 33 PRINCE,59,ATLANTIC H 33 PRINCE,,,,,,h in between,33,PRINCE,,,H,,,,,59,ATLANTIC,,,,,,,
Adams c Nassau h 17S Pearl,Assume,ADAMS C NASSAU H 17S PEARL,,,ADAMS C NASSAU H 17S PEARL,,,,,h in between,,PEARL,,,17S,,,,,,NASSAU,,,,,,ADAMS C,
29S Pearl N Y h 20 Willow,Assume,29S PEARL N Y H 20 WILLOW,,,29S PEARL N Y H 20 WILLOW,,,,,h in between,20,WILLOW,,,H,,,,,,PEARL,,,,,,29S  N Y,
72 Gold N Y h 93 Sands,Assume,72 GOLD N Y H 93 SANDS,72,GOLD N Y H 93 SANDS,,,,,,h in between,93,SANDS,,,H,,,,,72,GOLD,,,,,,N Y,
Hitks n Atlantic h c State and Hicks,Assume,HITKS N ATLANTIC H C STATE AND HICKS,,,HITKS N ATLANTIC H C STATE AND HICKS,,,,,h in between,,STATE,,,C  AND HICKS,,,,,,ATLANTIC,,,,,,HITKS N,
N Y h Wolcott st Red Hook,Assume,N Y H WOLCOTT ST RED HOOK,,,N Y H WOLCOTT ST RED HOOK,,,,,h in between,,WOLCOTT,RED HOOK,,ST,,,,,,,,,,,,N Y,
